sessionNo,startWeekday,bCount,onlineStatus,address,maxBStep,avgBStep,maxOnlineStatus,avgAvailability,minOnlineStatus,minAvailability,order
1,7,1,1.0,1.0,2.0,1.3333333333333333,1.0,1.0,1.0,1.0,1
1,7,1,1.0,1.0,2.0,1.3333333333333333,1.0,1.0,1.0,1.0,1
1,7,2,1.0,1.0,2.0,1.3333333333333333,1.0,1.0,1.0,1.0,1
1,7,3,1.0,1.0,2.0,1.3333333333333333,1.0,1.0,1.0,1.0,1
1,7,4,1.0,1.0,2.0,1.3333333333333333,1.0,1.0,1.0,1.0,1
1,7,4,1.0,1.0,2.0,1.3333333333333333,1.0,1.0,1.0,1.0,1
1,7,5,1.0,1.0,2.0,1.3333333333333333,1.0,1.0,1.0,1.0,1
1,7,5,1.0,1.0,2.0,1.3333333333333333,1.0,1.0,1.0,1.0,1
1,7,5,1.0,1.0,2.0,1.3333333333333333,1.0,1.0,1.0,1.0,1
2,7,1,1.0,2.0,4.0,3.5,1.0,1.0,1.0,1.0,1
2,7,1,1.0,2.0,4.0,3.5,1.0,1.0,1.0,1.0,1
2,7,1,1.0,2.0,4.0,3.5,1.0,1.0,1.0,1.0,1
2,7,1,1.0,2.0,4.0,3.5,1.0,1.0,1.0,1.0,1
2,7,1,1.0,2.0,4.0,3.5,1.0,1.0,1.0,1.0,1
2,7,1,1.0,2.0,4.0,3.5,1.0,1.0,1.0,1.0,1
2,7,1,1.0,2.0,4.0,3.5,1.0,1.0,1.0,1.0,1
2,7,2,1.0,2.0,4.0,3.5,1.0,1.0,1.0,1.0,1
2,7,2,1.0,2.0,4.0,3.5,1.0,1.0,1.0,1.0,1
2,7,2,1.0,2.0,4.0,3.5,1.0,1.0,1.0,1.0,1
2,7,2,1.0,2.0,4.0,3.5,1.0,1.0,1.0,1.0,1
3,7,1,1.0,2.0,4.0,1.8888888888888888,1.0,1.0,1.0,1.0,1
3,7,2,1.0,2.0,4.0,1.8888888888888888,1.0,1.0,1.0,1.0,1
3,7,3,1.0,2.0,4.0,1.8888888888888888,1.0,1.0,1.0,1.0,1
3,7,4,1.0,2.0,4.0,1.8888888888888888,1.0,1.0,1.0,1.0,1
3,7,5,1.0,2.0,4.0,1.8888888888888888,1.0,1.0,1.0,1.0,1
3,7,6,1.0,2.0,4.0,1.8888888888888888,1.0,1.0,1.0,1.0,1
3,7,7,1.0,2.0,4.0,1.8888888888888888,1.0,1.0,1.0,1.0,1
3,7,8,1.0,2.0,4.0,1.8888888888888888,1.0,1.0,1.0,1.0,1
3,7,9,1.0,2.0,4.0,1.8888888888888888,1.0,1.0,1.0,1.0,1
3,7,10,1.0,2.0,4.0,1.8888888888888888,1.0,1.0,1.0,1.0,1
3,7,10,1.0,2.0,4.0,1.8888888888888888,1.0,1.0,1.0,1.0,1
3,7,10,1.0,2.0,4.0,1.8888888888888888,1.0,1.0,1.0,1.0,1
3,7,10,1.0,2.0,4.0,1.8888888888888888,1.0,1.0,1.0,1.0,1
3,7,11,1.0,2.0,4.0,1.8888888888888888,1.0,1.0,1.0,1.0,1
3,7,11,1.0,2.0,4.0,1.8888888888888888,1.0,1.0,1.0,1.0,1
3,7,11,1.0,2.0,4.0,1.8888888888888888,1.0,1.0,1.0,1.0,1
3,7,11,1.0,2.0,4.0,1.8888888888888888,1.0,1.0,1.0,1.0,1
3,7,12,1.0,2.0,4.0,1.8888888888888888,1.0,1.0,1.0,1.0,1
3,7,12,1.0,2.0,4.0,1.8888888888888888,1.0,1.0,1.0,1.0,1
3,7,12,1.0,2.0,4.0,1.8888888888888888,1.0,1.0,1.0,1.0,1
3,7,12,1.0,2.0,4.0,1.8888888888888888,1.0,1.0,1.0,1.0,1
3,7,12,1.0,2.0,4.0,1.8888888888888888,1.0,1.0,1.0,1.0,1
3,7,12,1.0,2.0,4.0,1.8888888888888888,1.0,1.0,1.0,1.0,1
4,7,1,1.0,2.0,3.0,2.0,1.0,1.0,1.0,1.0,0
4,7,2,1.0,2.0,3.0,2.0,1.0,1.0,1.0,1.0,0
4,7,3,1.0,2.0,3.0,2.0,1.0,1.0,1.0,1.0,0
4,7,3,1.0,2.0,3.0,2.0,1.0,1.0,1.0,1.0,0
4,7,3,1.0,2.0,3.0,2.0,1.0,1.0,1.0,1.0,0
4,7,4,1.0,2.0,3.0,2.0,1.0,1.0,1.0,1.0,0
5,7,1,1.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,0
5,7,1,1.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,0
6,7,1,1.0,1.0,5.0,2.0,1.0,1.0,1.0,1.0,0
6,7,2,1.0,1.0,5.0,2.0,1.0,1.0,1.0,1.0,0
6,7,3,1.0,1.0,5.0,2.0,1.0,1.0,1.0,1.0,0
7,7,1,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0
7,7,2,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0
7,7,2,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0
8,7,1,1.0,2.0,5.0,2.0,1.0,1.0,1.0,1.0,0
8,7,2,1.0,2.0,5.0,2.0,1.0,1.0,1.0,1.0,0
9,7,1,1.0,2.0,5.0,2.0,1.0,1.0,1.0,1.0,0
10,7,1,1.0,2.0,4.0,2.875,1.0,1.0,1.0,1.0,1
10,7,2,1.0,2.0,4.0,2.875,1.0,1.0,1.0,1.0,1
