sessionNo,startHour,startWeekday,bCount,bStep,onlineStatus,availability,address,maxBStep,avgBStep,countTransact,maxAvailability,maxOnlineStatus,avgAvailability,minOnlineStatus,minAvailability,order
1,18,7,1,2.0,1.0,1.0,1.0,2.0,1.3333333333333333,9.0,1.0,1.0,1.0,1.0,1.0,1
1,18,7,1,1.0,1.0,1.0,1.0,2.0,1.3333333333333333,9.0,1.0,1.0,1.0,1.0,1.0,1
1,18,7,2,1.0,1.0,1.0,1.0,2.0,1.3333333333333333,9.0,1.0,1.0,1.0,1.0,1.0,1
1,18,7,3,1.0,1.0,1.0,1.0,2.0,1.3333333333333333,9.0,1.0,1.0,1.0,1.0,1.0,1
1,18,7,4,1.0,1.0,1.0,1.0,2.0,1.3333333333333333,9.0,1.0,1.0,1.0,1.0,1.0,1
1,18,7,4,1.0,1.0,1.0,1.0,2.0,1.3333333333333333,9.0,1.0,1.0,1.0,1.0,1.0,1
1,18,7,5,1.0,1.0,1.0,1.0,2.0,1.3333333333333333,9.0,1.0,1.0,1.0,1.0,1.0,1
1,18,7,5,1.0,1.0,1.0,1.0,2.0,1.3333333333333333,9.0,1.0,1.0,1.0,1.0,1.0,1
1,18,7,5,1.0,1.0,1.0,1.0,2.0,1.3333333333333333,9.0,1.0,1.0,1.0,1.0,1.0,1
2,18,7,1,1.0,1.0,1.0,2.0,4.0,3.5,11.0,1.0,1.0,1.0,1.0,1.0,1
2,18,7,1,2.0,1.0,1.0,2.0,4.0,3.5,11.0,1.0,1.0,1.0,1.0,1.0,1
2,18,7,1,1.0,1.0,1.0,2.0,4.0,3.5,11.0,1.0,1.0,1.0,1.0,1.0,1
2,18,7,1,4.0,1.0,1.0,2.0,4.0,3.5,11.0,1.0,1.0,1.0,1.0,1.0,1
2,18,7,1,1.0,1.0,1.0,2.0,4.0,3.5,11.0,1.0,1.0,1.0,1.0,1.0,1
2,18,7,1,4.0,1.0,1.0,2.0,4.0,3.5,11.0,1.0,1.0,1.0,1.0,1.0,1
2,18,7,1,1.0,1.0,1.0,2.0,4.0,3.5,11.0,1.0,1.0,1.0,1.0,1.0,1
2,18,7,2,1.0,1.0,1.0,2.0,4.0,3.5,11.0,1.0,1.0,1.0,1.0,1.0,1
2,18,7,2,1.0,1.0,1.0,2.0,4.0,3.5,11.0,1.0,1.0,1.0,1.0,1.0,1
2,18,7,2,4.0,1.0,1.0,2.0,4.0,3.5,11.0,1.0,1.0,1.0,1.0,1.0,1
2,18,7,2,1.0,1.0,1.0,2.0,4.0,3.5,11.0,1.0,1.0,1.0,1.0,1.0,1
3,18,7,1,1.0,1.0,1.0,2.0,4.0,1.8888888888888888,23.0,1.0,1.0,1.0,1.0,1.0,1
