sessionNo,maxBStep,avgBStep,maxOnlineStatus,minOnlineStatus,minAvailability,order
1,2.0,1.3333333333333333,1.0,1.0,1.0,1
1,2.0,1.3333333333333333,1.0,1.0,1.0,1
1,2.0,1.3333333333333333,1.0,1.0,1.0,1
1,2.0,1.3333333333333333,1.0,1.0,1.0,1
1,2.0,1.3333333333333333,1.0,1.0,1.0,1
1,2.0,1.3333333333333333,1.0,1.0,1.0,1
1,2.0,1.3333333333333333,1.0,1.0,1.0,1
1,2.0,1.3333333333333333,1.0,1.0,1.0,1
1,2.0,1.3333333333333333,1.0,1.0,1.0,1
2,4.0,3.5,1.0,1.0,1.0,1
2,4.0,3.5,1.0,1.0,1.0,1
2,4.0,3.5,1.0,1.0,1.0,1
2,4.0,3.5,1.0,1.0,1.0,1
2,4.0,3.5,1.0,1.0,1.0,1
2,4.0,3.5,1.0,1.0,1.0,1
2,4.0,3.5,1.0,1.0,1.0,1
2,4.0,3.5,1.0,1.0,1.0,1
2,4.0,3.5,1.0,1.0,1.0,1
2,4.0,3.5,1.0,1.0,1.0,1
2,4.0,3.5,1.0,1.0,1.0,1
3,4.0,1.8888888888888888,1.0,1.0,1.0,1
3,4.0,1.8888888888888888,1.0,1.0,1.0,1
3,4.0,1.8888888888888888,1.0,1.0,1.0,1
3,4.0,1.8888888888888888,1.0,1.0,1.0,1
3,4.0,1.8888888888888888,1.0,1.0,1.0,1
3,4.0,1.8888888888888888,1.0,1.0,1.0,1
3,4.0,1.8888888888888888,1.0,1.0,1.0,1
3,4.0,1.8888888888888888,1.0,1.0,1.0,1
3,4.0,1.8888888888888888,1.0,1.0,1.0,1
3,4.0,1.8888888888888888,1.0,1.0,1.0,1
3,4.0,1.8888888888888888,1.0,1.0,1.0,1
3,4.0,1.8888888888888888,1.0,1.0,1.0,1
3,4.0,1.8888888888888888,1.0,1.0,1.0,1
3,4.0,1.8888888888888888,1.0,1.0,1.0,1
3,4.0,1.8888888888888888,1.0,1.0,1.0,1
3,4.0,1.8888888888888888,1.0,1.0,1.0,1
3,4.0,1.8888888888888888,1.0,1.0,1.0,1
3,4.0,1.8888888888888888,1.0,1.0,1.0,1
3,4.0,1.8888888888888888,1.0,1.0,1.0,1
3,4.0,1.8888888888888888,1.0,1.0,1.0,1
3,4.0,1.8888888888888888,1.0,1.0,1.0,1
3,4.0,1.8888888888888888,1.0,1.0,1.0,1
3,4.0,1.8888888888888888,1.0,1.0,1.0,1
4,3.0,2.0,1.0,1.0,1.0,0
4,3.0,2.0,1.0,1.0,1.0,0
4,3.0,2.0,1.0,1.0,1.0,0
4,3.0,2.0,1.0,1.0,1.0,0
4,3.0,2.0,1.0,1.0,1.0,0
4,3.0,2.0,1.0,1.0,1.0,0
5,2.0,2.0,1.0,1.0,1.0,0
5,2.0,2.0,1.0,1.0,1.0,0
6,5.0,2.0,1.0,1.0,1.0,0
6,5.0,2.0,1.0,1.0,1.0,0
6,5.0,2.0,1.0,1.0,1.0,0
7,1.0,1.0,1.0,1.0,1.0,0
7,1.0,1.0,1.0,1.0,1.0,0
7,1.0,1.0,1.0,1.0,1.0,0
8,5.0,2.0,1.0,1.0,1.0,0
8,5.0,2.0,1.0,1.0,1.0,0
9,5.0,2.0,1.0,1.0,1.0,0
10,4.0,2.875,1.0,1.0,1.0,1
10,4.0,2.875,1.0,1.0,1.0,1
10,4.0,2.875,1.0,1.0,1.0,1
10,4.0,2.875,1.0,1.0,1.0,1
10,4.0,2.875,1.0,1.0,1.0,1
10,4.0,2.875,1.0,1.0,1.0,1
10,4.0,2.875,1.0,1.0,1.0,1
10,4.0,2.875,1.0,1.0,1.0,1
10,4.0,2.875,1.0,1.0,1.0,1
10,4.0,2.875,1.0,1.0,1.0,1
10,4.0,2.875,1.0,1.0,1.0,1
10,4.0,2.875,1.0,1.0,1.0,1
10,4.0,2.875,1.0,1.0,1.0,1
10,4.0,2.875,1.0,1.0,1.0,1
10,4.0,2.875,1.0,1.0,1.0,1
10,4.0,2.875,1.0,1.0,1.0,1
10,4.0,2.875,1.0,1.0,1.0,1
10,4.0,2.875,1.0,1.0,1.0,1
11,2.0,1.2,1.0,1.0,1.0,0
11,2.0,1.2,1.0,1.0,1.0,0
11,2.0,1.2,1.0,1.0,1.0,0
11,2.0,1.2,1.0,1.0,1.0,0
11,2.0,1.2,1.0,1.0,1.0,0
11,2.0,1.2,1.0,1.0,1.0,0
11,2.0,1.2,1.0,1.0,1.0,0
11,2.0,1.2,1.0,1.0,1.0,0
11,2.0,1.2,1.0,1.0,1.0,0
11,2.0,1.2,1.0,1.0,1.0,0
