sessionNo,startHour,startWeekday,duration,cCount,cMinPrice,cMaxPrice,cSumPrice,bCount,bMinPrice,bMaxPrice,bSumPrice,bStep,onlineStatus,availability,maxVal,customerScore,accountLifetime,payments,age,address,lastOrder,maxBStep,avgBStep,countTransact,maxAvailability,maxOnlineStatus,avgAvailability,minOnlineStatus,minAvailability,order
35500,22,6,252.733,2,449.99,449.99,899.98,1,449.99,449.99,449.99,3.0,1.0,1.0,1500.0,525.0,42.0,11.0,52.0,2.0,32.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,0
19597,9,6,748.2919999999999,54,13.0,45.9,1638.04,15,19.99,45.9,456.46,1.0,1.0,1.0,1600.0,488.0,30.0,28.0,34.0,2.0,22.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1
29279,17,6,282.666,11,3.99,9.99,91.89,4,3.99,9.99,27.96,2.0,1.0,1.0,600.0,70.0,55.0,0.0,45.0,2.0,419.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1
26598,15,6,649.1569999999999,19,9.99,49.99,607.81,5,19.99,49.99,149.95,2.0,1.0,1.0,800.0,409.0,1.0,1.0,40.0,2.0,54.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1
43295,13,7,459.04900000000004,21,3.99,39.99,536.8,5,3.99,39.99,112.35,2.0,1.0,1.0,600.0,503.0,270.0,10.0,43.0,2.0,43.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1
23245,13,6,494.79699999999997,16,15.99,44.99,445.84,3,17.99,44.99,84.97,2.0,1.0,1.0,2500.0,523.0,106.0,8.0,37.0,1.0,106.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1
29502,17,6,515.605,34,7.0,10.0,259.0,4,7.0,7.0,28.0,1.0,1.0,1.0,1500.0,577.0,127.0,15.0,38.0,2.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1
32085,19,6,0.0,1,17.99,17.99,17.99,1,17.99,17.99,17.99,2.0,1.0,1.0,200.0,496.0,210.0,8.0,48.0,1.0,32.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0
9601,16,5,768.562,3,9.99,99.0,148.98,1,39.99,39.99,39.99,4.0,1.0,1.0,2400.0,571.0,221.0,17.0,46.0,2.0,33.0,4.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1
39605,10,7,34.927,2,16.99,29.99,46.98,2,16.99,29.99,46.98,1.0,1.0,1.0,1500.0,520.0,104.0,8.0,45.0,2.0,36.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1
13759,19,5,346.46,9,12.99,69.99,361.91,1,69.99,69.99,69.99,2.0,1.0,1.0,5000.0,470.0,16.0,12.0,46.0,1.0,48.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1
34401,21,6,7261.004,19,3.99,39.99,233.81,6,3.99,39.99,91.94,1.0,1.0,1.0,800.0,588.0,24.0,4.0,33.0,1.0,71.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1
20077,9,6,301.01,15,6.99,49.99,410.85,5,6.99,49.99,136.95,2.0,1.0,1.0,300.0,530.0,84.0,1.0,44.0,1.0,98.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1
13224,19,5,1089.886,23,16.99,34.99,653.76,3,16.99,34.99,74.97,2.0,1.0,1.0,1500.0,520.0,104.0,0.0,42.0,2.0,14.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1
11694,18,5,1283.43,15,399.99,529.99,7199.85,3,479.99,499.99,1479.97,1.0,1.0,1.0,2700.0,559.0,347.0,21.0,45.0,2.0,18.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0
49127,18,7,10621.122,111,2.0,59.99,1480.06,16,2.0,19.99,186.88,2.0,1.0,1.0,600.0,578.0,67.0,8.0,48.0,2.0,163.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1
33619,20,6,907.6010000000001,2,189.99,189.99,379.98,1,189.99,189.99,189.99,5.0,1.0,1.0,1500.0,520.0,104.0,8.0,45.0,2.0,36.0,5.0,5.0,1.0,1.0,1.0,1.0,1.0,1.0,1
3743,11,5,221.625,6,19.99,59.99,239.94,2,19.99,59.99,79.98,2.0,1.0,1.0,5000.0,609.0,310.0,16.0,63.0,1.0,18.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1
10248,16,5,405.375,5,299.99,299.99,599.98,1,299.99,299.99,299.99,3.0,1.0,1.0,1500.0,520.0,104.0,8.0,45.0,2.0,36.0,4.0,3.5,2.0,1.0,1.0,1.0,1.0,1.0,0
28160,17,6,4261.705,184,3.99,79.95,3625.33,19,3.99,59.95,296.61,1.0,1.0,1.0,600.0,506.0,82.0,2.0,43.0,2.0,35.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1
43224,13,7,0.0,2,9.99,9.99,19.98,2,9.99,9.99,19.98,2.0,1.0,1.0,4000.0,586.0,57.0,2.0,49.0,2.0,185.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,0
36831,7,7,13.526,2,24.99,24.99,49.98,1,24.99,24.99,24.99,2.0,1.0,1.0,3000.0,586.0,154.0,5.0,44.0,2.0,64.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1
