sessionNo,startHour,startWeekday,duration,cCount,cMinPrice,cMaxPrice,cSumPrice,bCount,bMinPrice,bMaxPrice,bSumPrice,bStep,onlineStatus,availability,maxVal,customerScore,accountLifetime,payments,age,address,lastOrder,maxBStep,avgBStep,countTransact,maxAvailability,maxOnlineStatus,avgAvailability,minOnlineStatus,minAvailability,order
4493,11,5,17.059,2,19.99,19.99,39.98,1,19.99,19.99,19.99,,,,500.0,493.0,114.0,2.0,39.0,1.0,50.0,,,1.0,,,,,,1
3102,10,5,0.0,12,9.99,39.99,166.93,12,9.99,39.99,166.93,,,,,,,,,,,,,1.0,,,,,,0
18795,6,6,366.005,12,29.95,199.99,1039.71,3,29.95,199.99,289.89,,,,900.0,509.0,145.0,20.0,48.0,2.0,8.0,,,1.0,,,,,,0
30114,18,6,576.505,67,17.99,69.99,2242.34,16,17.99,69.99,543.84,,,,2500.0,499.0,214.0,15.0,42.0,2.0,4.0,,,1.0,,,,,,1
11887,18,5,167.362,5,19.99,39.99,135.95,5,19.99,39.99,135.95,,1.0,1.0,800.0,487.0,34.0,8.0,40.0,2.0,21.0,,,1.0,1.0,1.0,1.0,1.0,1.0,1
30268,18,6,954.94,12,11.99,82.99,294.89,2,19.99,25.99,45.98,,1.0,1.0,4000.0,542.0,224.0,8.0,57.0,2.0,112.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1
46304,16,7,266.816,16,9.99,39.99,445.49,4,9.99,39.99,122.77,,,,9000.0,572.0,367.0,23.0,54.0,2.0,11.0,,,1.0,,,,,,1
3775,11,5,736.5319999999999,15,6.99,29.99,230.87,15,6.99,29.99,230.87,,,,1000.0,567.0,123.0,4.0,31.0,2.0,165.0,,,1.0,,,,,,1
9096,15,5,436.98699999999997,6,4.99,199.99,618.94,2,6.99,199.99,206.98,1.0,1.0,1.0,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0
34189,21,6,2057.254,10,9.99,9.99,99.9,2,9.99,9.99,19.98,,,,,,,,,,,,,1.0,,,,,,0
9303,16,5,1962.808,65,3.0,34.99,582.8,5,3.0,19.99,52.97,4.0,1.0,1.0,300.0,497.0,216.0,9.0,40.0,2.0,228.0,4.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1
49659,18,7,23.573,2,9.99,9.99,19.98,1,9.99,9.99,9.99,,,,,,,,,,,,,1.0,,,,,,0
21782,11,6,158.833,4,19.99,24.99,89.96,2,19.99,24.99,44.98,3.0,1.0,1.0,15000.0,519.0,79.0,106.0,47.0,2.0,3.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1
24178,14,6,53.803999999999995,6,29.99,29.99,179.94,2,29.99,29.99,59.98,,,,3000.0,508.0,317.0,8.0,27.0,1.0,5.0,,,2.0,,,,,,1
28815,17,6,3118.792,52,9.99,129.95,2327.91,9,9.99,129.95,469.81,2.0,1.0,1.0,600.0,578.0,45.0,7.0,51.0,2.0,58.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1
21509,11,6,210.082,3,14.99,14.99,44.97,1,14.99,14.99,14.99,1.0,1.0,1.0,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0
48193,17,7,2414.221,71,9.99,45.95,1816.02,3,19.99,29.95,77.89,,1.0,1.0,3600.0,508.0,68.0,7.0,62.0,1.0,11.0,,,1.0,1.0,1.0,1.0,1.0,1.0,1
32517,20,6,6324.883000000001,197,6.99,69.99,4176.45,17,7.99,49.99,325.65,,,,2800.0,522.0,172.0,8.0,40.0,2.0,192.0,,,1.0,,,,,,1
1188,8,5,609.936,16,12.99,14.99,182.87,1,14.99,14.99,14.99,3.0,1.0,1.0,600.0,70.0,13.0,0.0,28.0,2.0,416.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1
48047,17,7,401.855,2,16.99,39.99,56.98,2,16.99,39.99,56.98,4.0,1.0,1.0,4000.0,533.0,207.0,7.0,49.0,2.0,38.0,4.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1
27825,16,6,2496.429,43,4.99,99.95,1450.01,8,4.99,79.99,274.88,1.0,1.0,1.0,2600.0,546.0,170.0,5.0,32.0,2.0,47.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1
42096,12,7,221.088,9,17.99,99.99,533.79,3,17.99,99.99,177.93,,,,,,,,,,,,,1.0,,,,,,1
41337,12,7,186.99599999999998,11,19.99,49.99,399.89,3,19.99,49.99,99.97,,,,700.0,429.0,7.0,9.0,19.0,2.0,21.0,,,1.0,,,,,,1
45828,15,7,7.356,6,3.99,19.99,73.94,6,3.99,19.99,73.94,1.0,1.0,1.0,1300.0,587.0,125.0,11.0,56.0,1.0,26.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1
24455,14,6,1007.962,27,9.99,59.99,568.73,6,9.99,59.99,142.94,2.0,1.0,1.0,4000.0,577.0,154.0,2.0,45.0,1.0,63.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1
