sessionNo|startHour|startWeekday|duration|cCount|cMinPrice|cMaxPrice|cSumPrice|bCount|bMinPrice|bMaxPrice|bSumPrice|bStep|onlineStatus|availability|customerNo|maxVal|customerScore|accountLifetime|payments|age|address|lastOrder|order
1|6|5|0.0|1|59.99|59.99|59.99|1|59.99|59.99|59.99|?|?|?|1|600|70|21|1|43|1|49|y
1|6|5|11.94|1|59.99|59.99|59.99|1|59.99|59.99|59.99|2|y|completely orderable|1|600|70|21|1|43|1|49|y
1|6|5|39.887|1|59.99|59.99|59.99|1|59.99|59.99|59.99|?|y|completely orderable|1|600|70|21|1|43|1|49|y
2|6|5|0.0|0|?|?|?|0|?|?|?|2|y|completely orderable|?|?|?|?|?|?|?|?|y
2|6|5|15.633|0|?|?|?|0|?|?|?|?|y|completely orderable|?|?|?|?|?|?|?|?|y
2|6|5|26.235|0|?|?|?|0|?|?|?|4|y|completely orderable|?|?|?|?|?|?|?|?|y
2|6|5|71.2|0|?|?|?|0|?|?|?|4|y|completely orderable|?|?|?|?|?|?|?|?|y
2|6|5|94.469|0|?|?|?|0|?|?|?|?|y|completely orderable|?|?|?|?|?|?|?|?|y
3|6|5|181.477|9|29.99|29.99|89.97|1|29.99|29.99|29.99|?|?|?|3|1800|475|302|12|45|1|11|y
3|6|5|297.018|11|9.99|29.99|109.95|2|9.99|29.99|39.98|?|?|?|3|1800|475|302|12|45|1|11|y
3|6|5|310.967|11|9.99|29.99|109.95|2|9.99|29.99|39.98|?|y|completely orderable|3|1800|475|302|12|45|1|11|y
3|6|5|324.278|11|9.99|29.99|109.95|2|9.99|29.99|39.98|4|y|completely orderable|3|1800|475|302|12|45|1|11|y
3|6|5|341.613|11|9.99|29.99|109.95|2|9.99|29.99|39.98|?|y|completely orderable|3|1800|475|302|12|45|1|11|y
4|6|5|28.871|4|4.99|4.99|19.96|1|4.99|4.99|4.99|?|?|?|?|?|?|?|?|?|?|?|n
4|6|5|42.812|4|4.99|4.99|19.96|1|4.99|4.99|4.99|1|y|completely not orderable|?|?|?|?|?|?|?|?|n
5|6|5|120.269|4|27.85|27.85|55.7|1|27.85|27.85|27.85|?|?|?|4|800|503|18|1|46|1|40|y
5|6|5|170.642|6|27.85|27.85|111.4|2|27.85|27.85|55.7|?|?|?|4|800|503|18|1|46|1|40|y
5|6|5|228.147|9|27.85|27.85|167.1|3|27.85|27.85|83.55|?|?|?|4|800|503|18|1|46|1|40|y
5|6|5|721.1|16|19.99|27.85|234.07|4|19.99|27.85|103.54|?|?|?|4|800|503|18|1|46|1|40|y
5|6|5|2718.412|45|12.99|179.95|1093.72|4|19.99|27.85|103.54|?|y|completely orderable|4|800|503|18|1|46|1|40|y
5|6|5|2738.467|45|12.99|179.95|1093.72|4|19.99|27.85|103.54|4|y|completely orderable|4|800|503|18|1|46|1|40|y
5|6|5|2797.247|45|12.99|179.95|1093.72|4|19.99|27.85|103.54|4|y|completely orderable|4|800|503|18|1|46|1|40|y
5|6|5|2816.046|45|12.99|179.95|1093.72|4|19.99|27.85|103.54|?|y|completely orderable|4|800|503|18|1|46|1|40|y
6|6|5|0.0|1|129.99|129.99|129.99|1|129.99|129.99|129.99|?|?|?|?|?|?|?|?|?|?|?|n
6|6|5|0.0|2|99.99|129.99|229.98|2|99.99|129.99|229.98|?|?|?|?|?|?|?|?|?|?|?|n
6|6|5|0.0|3|99.99|169.0|398.98|3|99.99|169.0|398.98|?|?|?|?|?|?|?|?|?|?|?|n
7|6|5|249.844|6|3.0|20.0|73.0|1|3.0|3.0|3.0|?|?|?|5|900|575|35|10|31|2|10|y
7|6|5|268.713|6|3.0|20.0|73.0|1|3.0|3.0|3.0|1|y|completely orderable|5|900|575|35|10|31|2|10|y
7|6|5|274.297|6|3.0|20.0|73.0|1|3.0|3.0|3.0|2|y|completely orderable|5|900|575|35|10|31|2|10|y
7|6|5|286.562|6|3.0|20.0|73.0|1|3.0|3.0|3.0|2|y|completely orderable|5|900|575|35|10|31|2|10|y
7|6|5|300.32|6|3.0|20.0|73.0|1|3.0|3.0|3.0|?|y|completely orderable|5|900|575|35|10|31|2|10|y
7|6|5|304.672|6|3.0|20.0|73.0|1|3.0|3.0|3.0|4|y|completely orderable|5|900|575|35|10|31|2|10|y
7|6|5|310.456|6|3.0|20.0|73.0|1|3.0|3.0|3.0|?|y|completely orderable|5|900|575|35|10|31|2|10|y
7|6|5|510.161|9|3.0|20.0|82.0|2|3.0|3.0|6.0|?|?|?|5|900|575|35|10|31|2|10|y
7|6|5|610.566|12|3.0|20.0|91.0|2|3.0|3.0|6.0|1|y|completely orderable|5|900|575|35|10|31|2|10|y
7|6|5|619.672|13|3.0|20.0|94.0|3|3.0|3.0|9.0|?|?|?|5|900|575|35|10|31|2|10|y
7|6|5|622.026|13|3.0|20.0|94.0|3|3.0|3.0|9.0|1|y|completely orderable|5|900|575|35|10|31|2|10|y
7|6|5|956.672|15|3.0|40.0|137.0|3|3.0|3.0|9.0|1|y|completely orderable|5|900|575|35|10|31|2|10|y
7|6|5|961.757|15|3.0|40.0|137.0|3|3.0|3.0|9.0|?|y|completely orderable|5|900|575|35|10|31|2|10|y
7|6|5|966.68|15|3.0|40.0|137.0|3|3.0|3.0|9.0|4|y|completely orderable|5|900|575|35|10|31|2|10|y
7|6|5|973.887|15|3.0|40.0|137.0|3|3.0|3.0|9.0|?|y|completely orderable|5|900|575|35|10|31|2|10|y
8|6|5|0.0|1|59.99|59.99|59.99|1|59.99|59.99|59.99|?|?|?|6|500|430|3|10|21|2|57|n
9|6|5|56.928|2|499.99|499.99|999.98|1|499.99|499.99|499.99|?|?|?|?|?|?|?|?|?|?|?|y
9|6|5|72.845|2|499.99|499.99|999.98|1|499.99|499.99|499.99|2|y|completely orderable|?|?|?|?|?|?|?|?|y
9|6|5|313.074|2|499.99|499.99|999.98|1|499.99|499.99|499.99|2|y|completely orderable|?|?|?|?|?|?|?|?|y
9|6|5|392.758|2|499.99|499.99|999.98|1|499.99|499.99|499.99|3|y|completely orderable|?|?|?|?|?|?|?|?|y
9|6|5|471.647|2|499.99|499.99|999.98|1|499.99|499.99|499.99|4|y|completely orderable|?|?|?|?|?|?|?|?|y
9|6|5|550.968|2|499.99|499.99|999.98|1|499.99|499.99|499.99|5|y|completely orderable|?|?|?|?|?|?|?|?|y
10|6|5|20.408|3|12.0|12.0|36.0|1|12.0|12.0|12.0|?|?|?|7|4000|555|55|23|51|2|24|n
